Time,__name__,c,container,endpoint,instance,job,namespace,pod,service,Value
2023-11-07 20:05:00,request_timer_sum,127,helm-chart,http,10.244.0.14:8080,gogrpctest-helm-chart,monitoring,gogrpctest-helm-chart-8568c96584-j2824,gogrpctest-helm-chart,179
2023-11-07 20:05:00,request_timer_sum,128,helm-chart,http,10.244.0.14:8080,gogrpctest-helm-chart,monitoring,gogrpctest-helm-chart-8568c96584-j2824,gogrpctest-helm-chart,176
2023-11-07 20:05:00,request_timer_sum,129,helm-chart,http,10.244.0.14:8080,gogrpctest-helm-chart,monitoring,gogrpctest-helm-chart-8568c96584-j2824,gogrpctest-helm-chart,107
2023-11-07 20:05:00,request_timer_sum,13,helm-chart,http,10.244.0.14:8080,gogrpctest-helm-chart,monitoring,gogrpctest-helm-chart-8568c96584-j2824,gogrpctest-helm-chart,133
2023-11-07 20:05:00,request_timer_sum,130,helm-chart,http,10.244.0.14:8080,gogrpctest-helm-chart,monitoring,gogrpctest-helm-chart-8568c96584-j2824,gogrpctest-helm-chart,281
2023-11-07 20:05:00,request_timer_sum,131,helm-chart,http,10.244.0.14:8080,gogrpctest-helm-chart,monitoring,gogrpctest-helm-chart-8568c96584-j2824,gogrpctest-helm-chart,139
2023-11-07 20:05:00,request_timer_sum,132,helm-chart,http,10.244.0.14:8080,gogrpctest-helm-chart,monitoring,gogrpctest-helm-chart-8568c96584-j2824,gogrpctest-helm-chart,142
2023-11-07 20:05:00,request_timer_sum,133,helm-chart,http,10.244.0.14:8080,gogrpctest-helm-chart,monitoring,gogrpctest-helm-chart-8568c96584-j2824,gogrpctest-helm-chart,133
2023-11-07 20:05:00,request_timer_sum,134,helm-chart,http,10.244.0.14:8080,gogrpctest-helm-chart,monitoring,gogrpctest-helm-chart-8568c96584-j2824,gogrpctest-helm-chart,136
2023-11-07 20:05:00,request_timer_sum,135,helm-chart,http,10.244.0.14:8080,gogrpctest-helm-chart,monitoring,gogrpctest-helm-chart-8568c96584-j2824,gogrpctest-helm-chart,106
2023-11-07 20:05:00,request_timer_sum,136,helm-chart,http,10.244.0.14:8080,gogrpctest-helm-chart,monitoring,gogrpctest-helm-chart-8568c96584-j2824,gogrpctest-helm-chart,103
2023-11-07 20:05:00,request_timer_sum,137,helm-chart,http,10.244.0.14:8080,gogrpctest-helm-chart,monitoring,gogrpctest-helm-chart-8568c96584-j2824,gogrpctest-helm-chart,103
2023-11-07 20:05:00,request_timer_sum,138,helm-chart,http,10.244.0.14:8080,gogrpctest-helm-chart,monitoring,gogrpctest-helm-chart-8568c96584-j2824,gogrpctest-helm-chart,152
2023-11-07 20:05:00,request_timer_sum,139,helm-chart,http,10.244.0.14:8080,gogrpctest-helm-chart,monitoring,gogrpctest-helm-chart-8568c96584-j2824,gogrpctest-helm-chart,109
2023-11-07 20:05:00,request_timer_sum,14,helm-chart,http,10.244.0.14:8080,gogrpctest-helm-chart,monitoring,gogrpctest-helm-chart-8568c96584-j2824,gogrpctest-helm-chart,136
2023-11-07 20:05:00,request_timer_sum,140,helm-chart,http,10.244.0.14:8080,gogrpctest-helm-chart,monitoring,gogrpctest-helm-chart-8568c96584-j2824,gogrpctest-helm-chart,109
2023-11-07 20:05:00,request_timer_sum,141,helm-chart,http,10.244.0.14:8080,gogrpctest-helm-chart,monitoring,gogrpctest-helm-chart-8568c96584-j2824,gogrpctest-helm-chart,159
2023-11-07 20:05:00,request_timer_sum,142,helm-chart,http,10.244.0.14:8080,gogrpctest-helm-chart,monitoring,gogrpctest-helm-chart-8568c96584-j2824,gogrpctest-helm-chart,146
2023-11-07 20:05:00,request_timer_sum,143,helm-chart,http,10.244.0.14:8080,gogrpctest-helm-chart,monitoring,gogrpctest-helm-chart-8568c96584-j2824,gogrpctest-helm-chart,154
2023-11-07 20:05:00,request_timer_sum,144,helm-chart,http,10.244.0.14:8080,gogrpctest-helm-chart,monitoring,gogrpctest-helm-chart-8568c96584-j2824,gogrpctest-helm-chart,150
2023-11-07 20:05:00,request_timer_sum,145,helm-chart,http,10.244.0.14:8080,gogrpctest-helm-chart,monitoring,gogrpctest-helm-chart-8568c96584-j2824,gogrpctest-helm-chart,156
2023-11-07 20:05:00,request_timer_sum,146,helm-chart,http,10.244.0.14:8080,gogrpctest-helm-chart,monitoring,gogrpctest-helm-chart-8568c96584-j2824,gogrpctest-helm-chart,158
2023-11-07 20:05:00,request_timer_sum,147,helm-chart,http,10.244.0.14:8080,gogrpctest-helm-chart,monitoring,gogrpctest-helm-chart-8568c96584-j2824,gogrpctest-helm-chart,171
2023-11-07 20:05:00,request_timer_sum,148,helm-chart,http,10.244.0.14:8080,gogrpctest-helm-chart,monitoring,gogrpctest-helm-chart-8568c96584-j2824,gogrpctest-helm-chart,155
2023-11-07 20:05:00,request_timer_sum,149,helm-chart,http,10.244.0.14:8080,gogrpctest-helm-chart,monitoring,gogrpctest-helm-chart-8568c96584-j2824,gogrpctest-helm-chart,108
2023-11-07 20:05:00,request_timer_sum,15,helm-chart,http,10.244.0.14:8080,gogrpctest-helm-chart,monitoring,gogrpctest-helm-chart-8568c96584-j2824,gogrpctest-helm-chart,116
2023-11-07 20:05:00,request_timer_sum,150,helm-chart,http,10.244.0.14:8080,gogrpctest-helm-chart,monitoring,gogrpctest-helm-chart-8568c96584-j2824,gogrpctest-helm-chart,131
2023-11-07 20:05:00,request_timer_sum,151,helm-chart,http,10.244.0.14:8080,gogrpctest-helm-chart,monitoring,gogrpctest-helm-chart-8568c96584-j2824,gogrpctest-helm-chart,130
2023-11-07 20:05:00,request_timer_sum,152,helm-chart,http,10.244.0.14:8080,gogrpctest-helm-chart,monitoring,gogrpctest-helm-chart-8568c96584-j2824,gogrpctest-helm-chart,107
2023-11-07 20:05:00,request_timer_sum,153,helm-chart,http,10.244.0.14:8080,gogrpctest-helm-chart,monitoring,gogrpctest-helm-chart-8568c96584-j2824,gogrpctest-helm-chart,126
2023-11-07 20:05:00,request_timer_sum,154,helm-chart,http,10.244.0.14:8080,gogrpctest-helm-chart,monitoring,gogrpctest-helm-chart-8568c96584-j2824,gogrpctest-helm-chart,165
2023-11-07 20:05:00,request_timer_sum,155,helm-chart,http,10.244.0.14:8080,gogrpctest-helm-chart,monitoring,gogrpctest-helm-chart-8568c96584-j2824,gogrpctest-helm-chart,167
2023-11-07 20:05:00,request_timer_sum,156,helm-chart,http,10.244.0.14:8080,gogrpctest-helm-chart,monitoring,gogrpctest-helm-chart-8568c96584-j2824,gogrpctest-helm-chart,136
2023-11-07 20:05:00,request_timer_sum,157,helm-chart,http,10.244.0.14:8080,gogrpctest-helm-chart,monitoring,gogrpctest-helm-chart-8568c96584-j2824,gogrpctest-helm-chart,128
2023-11-07 20:05:00,request_timer_sum,158,helm-chart,http,10.244.0.14:8080,gogrpctest-helm-chart,monitoring,gogrpctest-helm-chart-8568c96584-j2824,gogrpctest-helm-chart,132
2023-11-07 20:05:00,request_timer_sum,159,helm-chart,http,10.244.0.14:8080,gogrpctest-helm-chart,monitoring,gogrpctest-helm-chart-8568c96584-j2824,gogrpctest-helm-chart,125
2023-11-07 20:05:00,request_timer_sum,16,helm-chart,http,10.244.0.14:8080,gogrpctest-helm-chart,monitoring,gogrpctest-helm-chart-8568c96584-j2824,gogrpctest-helm-chart,126
2023-11-07 20:05:00,request_timer_sum,160,helm-chart,http,10.244.0.14:8080,gogrpctest-helm-chart,monitoring,gogrpctest-helm-chart-8568c96584-j2824,gogrpctest-helm-chart,134
2023-11-07 20:05:00,request_timer_sum,161,helm-chart,http,10.244.0.14:8080,gogrpctest-helm-chart,monitoring,gogrpctest-helm-chart-8568c96584-j2824,gogrpctest-helm-chart,133
2023-11-07 20:05:00,request_timer_sum,162,helm-chart,http,10.244.0.14:8080,gogrpctest-helm-chart,monitoring,gogrpctest-helm-chart-8568c96584-j2824,gogrpctest-helm-chart,134
2023-11-07 20:05:00,request_timer_sum,163,helm-chart,http,10.244.0.14:8080,gogrpctest-helm-chart,monitoring,gogrpctest-helm-chart-8568c96584-j2824,gogrpctest-helm-chart,137
2023-11-07 20:05:00,request_timer_sum,164,helm-chart,http,10.244.0.14:8080,gogrpctest-helm-chart,monitoring,gogrpctest-helm-chart-8568c96584-j2824,gogrpctest-helm-chart,156
2023-11-07 20:05:00,request_timer_sum,165,helm-chart,http,10.244.0.14:8080,gogrpctest-helm-chart,monitoring,gogrpctest-helm-chart-8568c96584-j2824,gogrpctest-helm-chart,112
2023-11-07 20:05:00,request_timer_sum,166,helm-chart,http,10.244.0.14:8080,gogrpctest-helm-chart,monitoring,gogrpctest-helm-chart-8568c96584-j2824,gogrpctest-helm-chart,102
2023-11-07 20:05:00,request_timer_sum,167,helm-chart,http,10.244.0.14:8080,gogrpctest-helm-chart,monitoring,gogrpctest-helm-chart-8568c96584-j2824,gogrpctest-helm-chart,102
2023-11-07 20:05:00,request_timer_sum,168,helm-chart,http,10.244.0.14:8080,gogrpctest-helm-chart,monitoring,gogrpctest-helm-chart-8568c96584-j2824,gogrpctest-helm-chart,101
2023-11-07 20:05:00,request_timer_sum,169,helm-chart,http,10.244.0.14:8080,gogrpctest-helm-chart,monitoring,gogrpctest-helm-chart-8568c96584-j2824,gogrpctest-helm-chart,106
2023-11-07 20:05:00,request_timer_sum,17,helm-chart,http,10.244.0.14:8080,gogrpctest-helm-chart,monitoring,gogrpctest-helm-chart-8568c96584-j2824,gogrpctest-helm-chart,133
2023-11-07 20:05:00,request_timer_sum,170,helm-chart,http,10.244.0.14:8080,gogrpctest-helm-chart,monitoring,gogrpctest-helm-chart-8568c96584-j2824,gogrpctest-helm-chart,109
2023-11-07 20:05:00,request_timer_sum,171,helm-chart,http,10.244.0.14:8080,gogrpctest-helm-chart,monitoring,gogrpctest-helm-chart-8568c96584-j2824,gogrpctest-helm-chart,100
2023-11-07 20:05:00,request_timer_sum,172,helm-chart,http,10.244.0.14:8080,gogrpctest-helm-chart,monitoring,gogrpctest-helm-chart-8568c96584-j2824,gogrpctest-helm-chart,108
2023-11-07 20:05:00,request_timer_sum,173,helm-chart,http,10.244.0.14:8080,gogrpctest-helm-chart,monitoring,gogrpctest-helm-chart-8568c96584-j2824,gogrpctest-helm-chart,152
2023-11-07 20:05:00,request_timer_sum,174,helm-chart,http,10.244.0.14:8080,gogrpctest-helm-chart,monitoring,gogrpctest-helm-chart-8568c96584-j2824,gogrpctest-helm-chart,994
2023-11-07 20:05:00,request_timer_sum,175,helm-chart,http,10.244.0.14:8080,gogrpctest-helm-chart,monitoring,gogrpctest-helm-chart-8568c96584-j2824,gogrpctest-helm-chart,109
2023-11-07 20:05:00,request_timer_sum,176,helm-chart,http,10.244.0.14:8080,gogrpctest-helm-chart,monitoring,gogrpctest-helm-chart-8568c96584-j2824,gogrpctest-helm-chart,150
2023-11-07 20:05:00,request_timer_sum,177,helm-chart,http,10.244.0.14:8080,gogrpctest-helm-chart,monitoring,gogrpctest-helm-chart-8568c96584-j2824,gogrpctest-helm-chart,130
2023-11-07 20:05:00,request_timer_sum,178,helm-chart,http,10.244.0.14:8080,gogrpctest-helm-chart,monitoring,gogrpctest-helm-chart-8568c96584-j2824,gogrpctest-helm-chart,314
2023-11-07 20:05:00,request_timer_sum,179,helm-chart,http,10.244.0.14:8080,gogrpctest-helm-chart,monitoring,gogrpctest-helm-chart-8568c96584-j2824,gogrpctest-helm-chart,105
2023-11-07 20:05:00,request_timer_sum,18,helm-chart,http,10.244.0.14:8080,gogrpctest-helm-chart,monitoring,gogrpctest-helm-chart-8568c96584-j2824,gogrpctest-helm-chart,103
2023-11-07 20:05:00,request_timer_sum,180,helm-chart,http,10.244.0.14:8080,gogrpctest-helm-chart,monitoring,gogrpctest-helm-chart-8568c96584-j2824,gogrpctest-helm-chart,137
2023-11-07 20:05:00,request_timer_sum,181,helm-chart,http,10.244.0.14:8080,gogrpctest-helm-chart,monitoring,gogrpctest-helm-chart-8568c96584-j2824,gogrpctest-helm-chart,139
2023-11-07 20:05:00,request_timer_sum,182,helm-chart,http,10.244.0.14:8080,gogrpctest-helm-chart,monitoring,gogrpctest-helm-chart-8568c96584-j2824,gogrpctest-helm-chart,135
2023-11-07 20:05:00,request_timer_sum,183,helm-chart,http,10.244.0.14:8080,gogrpctest-helm-chart,monitoring,gogrpctest-helm-chart-8568c96584-j2824,gogrpctest-helm-chart,113
